NAME,VAL
1570605,39.8107
73397,6.30957
3235560,6.30957
3235562,0.501187
3235565,39.8107
3235564,0.794328
3180819,7.07946
1565837,5.01187
2831718,2.23872
2733525,22.10605
3036289,2.62
11958390,0.794328
2959173,10.0
5378674,7.07946
2217311,0.398107
3240817,0.398107
6095481,12.5893
3239359,5.01187
2929631,14.1254
3234167,39.8107
3234165,0.158489
3234162,1.25893
3234160,19.9526
3234161,19.9526
1482756,22.3872
3240102,35.4813
298391,0.630957
2793146,6.30957
682802,31.6228
3245883,0.501187
6603740,5.227585
6603742,0.158489
6603748,39.8107
54686761,4.46684
1365490,0.0354813
2230147,14.1254
2230146,22.3872
1994324,25.1189
2842874,0.1
5766359,8.91251
1894994,14.1254
3013166,0.00630957
2302374,15.8489
3234578,25.1189
3246286,0.125893
3234577,3.16228
3234576,25.1189
3234571,25.1189
3233374,39.8107
3234572,39.8107
3519,0.125893
719755,12.5893
11980904,6.30957
2689,25.1189
3242503,15.8489
268638,1.0
6066776,1.99526
6066774,25.1189
4614034,8.91251
3229174,10.0
6413218,12.5893
4336830,6.30957
4549642,3.16228
1022009,15.8489
6604719,0.125893
9551617,15.8489
3233248,7.94328
3233715,15.8489
3233245,1.99526
3233242,39.8107
3233712,7.94328
3233241,10.0
660546,4.46684
1472407,3.54813
1735073,22.3872
2830094,10.0
3243676,3.16228
2855584,0.112202
3103429,14.1254
5771690,3.98107
2882867,10.0
3244907,15.8489
3244905,3.54813
7184,12.5893
16758743,3.16228
11958561,0.1
1098144,12.5893
4650172,11.2202
859016,7.94328
16758299,6.30957
5103771,7.07946
3570389,22.3872
2907732,17.7828
5333096,12.5893
9549619,11.2202
2851650,15.8489
3235719,12.5893
11958705,11.2202
11958701,39.8107
2999101,2.81838
3595012,25.1189
653914,11.2202
3232790,1.99526
5149140,7.94328
107896,3.98107
182593,0.125893
3764897,10.0
16758752,3.16228
3232838,15.8489
3232839,10.0
1402105,8.91251
2605165,7.94328
16758280,3.16228
3232832,1.25893
3232833,31.6228
3232831,19.9526
3232834,15.8489
679916,0.177828
2885841,8.91251
32224,0.0398107
2866118,25.1189
1846661,14.1254
4621,3.16228
4629,3.98107
1309483,31.6228
5346232,15.8489
679873,1.41254
702389,3.16228
2016912,28.1838
4859833,39.8107
413484,1.99526
3721751,19.9526
2267686,8.91251
2267687,14.1254
2872630,0.354813
1968992,25.1189
71212,12.5893
6896805,0.0251189
408290,3.98107
3242995,10.0
1487353,8.91251
6815,3.98107
3278071,7.07946
11957285,17.7828
5322334,17.7828
5372683,10.0
3236663,39.8107
2981354,12.5893
3233013,0.1
3233012,1.58489
3233010,10.0
3233017,10.0
3233016,3.98107
3234290,6.30957
3233018,15.8489
3234295,12.5893
3234296,31.6228
9556577,2.51189
3232632,19.9526
3232634,39.8107
3232637,39.8107
11957131,0.316228
11957133,15.8489
5512458,14.1254
3236529,14.1254
3234743,19.9526
3234740,7.94328
3234747,39.8107
3234745,0.0398107
3238675,14.1254
3212955,22.3872
108107,10.430385
3626837,31.6228
6604385,6.30957
688469,10.430385
6604380,10.0
3716916,15.8489
3716917,17.7828
5332627,8.91251
2079023,1.12202
9566812,7.07946
5459504,12.5893
5459507,15.8489
5459501,12.5893
5459500,12.5893
5459502,25.1189
3235369,12.5893
3235368,10.0
3235365,10.0
3243314,14.1254
3235363,1.25893
3233901,12.5893
3233900,31.6228
3233905,15.8489
3233904,39.8107
6604038,25.1189
3233909,7.94328
3233908,12.5893
6604035,3.98107
6604030,0.329838
6604031,39.8107
3237217,10.0
3233185,10.0
1475811,0.707946
3233507,2.51189
3233637,3.98107
4298774,7.94328
3235502,12.5893
677049,0.316228
3235507,31.6228
3235506,10.0
3235504,10.0
6604302,0.316228
644213,10.0
2968971,39.8107
2884523,6.30957
2884521,0.891251
2951421,7.07946
559643,3.98107
3520283,14.1254
