ID	apKa1	bpKa1	atoms
6603255	16.03	1.05	10,13
665081		8.71	17
665084	9.81	3.93	15,17
6602811		8.55	7
665250		4.68	8
665278	18.70	4.14	20,27
665299	9.46	3.75	18,20
665380	11.99	-2.13	14,16
665459	10.43	-0.91	4,7
665578		-1.57	19
665654	15.31	-1.71	20,19
665725		2.23	2
665964		5.56	7
666213		2.58	6
666412		3.55	18
666498	15.28	-1.41	21,20
666499	6.42	-1.90	11,5
666838		5.19	10
667080		-0.26	15
667171	5.58	-4.87	17,15
667315	13.54	-1.46	12,14
2997551		0.97	4
2108763		0.95	16
5742453	18.34	1.54	21,17
2997601	9.91	2.68	26,12
2360612		2.98	4
2997683	10.21	5.20	11,5
1016562	9.93	-4.82	12,2
2570762	12.11	-3.11	5,27
2601844	14.07	1.79	9,16
2997847	14.87	-4.14	12,24
2997950	13.37	8.14	18,25
2997975	12.68	-2.97	7,27
2605165	18.74	0.75	13,9
5684187	8.30	-1.48	31,13
943085		1.78	14
2426783	14.32	1.63	25,15
2161188	14.24	0.09	26,23
2998032	14.14	5.29	19,29
2368566	7.11	-2.52	24,8
2998040	14.34	-4.57	5,4
2537506		3.79	9
5742480	13.67	3.00	7,6
350843		5.88	4
6461550		8.15	10
5742487	7.98	1.28	23,28
2123807	8.06	-3.74	29,19
69088	13.85	-1.93	6,5
6861488	12.72	-4.55	10,12
2123310		-1.92	13
2349205	9.14	7.57	17,21
2121339		-3.79	11
2116120		2.01	12
2326262	10.72	-2.90	6,8
2998397	17.74	-1.61	9,9
2998398	14.45	1.36	22,12
2400918	9.19	4.74	13,9
704116	16.71	4.76	14,10
2998651	11.54	-4.56	19,8
2120718	10.81	7.10	9,17
2998702	8.74	4.83	17,10
2998722		-1.61	10
2336545		2.55	17
2115079	13.04	-7.79	15,14
2098196	12.31	1.41	26,6
2594257	11.41	7.23	11,3
2060921	13.85	-0.11	15,5
2998990	14.24	-2.56	9,20
6882596	3.37	1.23	24,5
2545865	10.60	-3.06	24,31
2999101		0.08	13
2116318	17.20	-4.40	13,25
2999150	14.15	-1.53	13,12
2999154	9.27	1.26	16,6
1234753	19.79	0.08	17,8
2393456	13.09	-2.40	13,11
2999228		4.08	8
2115978	9.71	-2.91	25,31
2104232		-2.21	8
2695338	12.25	-6.17	13,15
721568	9.69	0.90	8,9
2422615		-2.15	16
595193		7.94	10
2083491	13.73	2.40	14,11
2115176	9.19	-0.53	12,11
2999540		-4.88	9
2122192	17.20	-4.41	16,28
271643	2.85	-7.33	15,11
2999625	9.80	2.39	13,11
2123289	8.94	8.24	7,10
2434657	12.27	-3.22	15,26
2574588	13.51	-1.58	7,19
733062	6.81	-5.11	22,14
2999794	14.12	9.55	19,10
2882730	14.10	8.52	26,9
2570225		2.03	17
2999963	9.29	4.03	6,19
2999987		-4.44	2
4879		6.49	13
2575543	14.91	1.40	8,14
3000015		-1.26	8
888621		-6.79	12
6603002	12.25	6.50	8,2
2161090	11.58	-1.33	13,9
2314340		-3.60	3
3000138	16.27	-3.16	18,25
2408768		-2.10	15
2336875	12.93	-0.30	14,7
2326513	11.33	5.62	18,22
2566755	6.18	1.31	24,19
2090740	8.17	-1.54	8,11
2368170	17.37	0.32	14,9
2502130	13.65	-3.71	21,11
3232584	15.71	1.62	3,5
3232585		-1.71	11
3232587	18.56	4.30	19,10
3232588	15.13	7.68	16,20
3232590		8.68	15
3232591	19.47	6.58	19,22
3232593		0.10	6
3232594		7.13	2
3232595	18.16	5.09	8,12
3232596		1.48	5
3232597		7.13	2
3232598		4.60	13
3232599	18.71	4.78	5,13
3232600	17.44	4.99	11,18
3232602	18.30	5.20	16,12
3232603		6.08	11
3232604	17.44	4.74	23,17
3232605		3.26	13
3232606		4.68	9
3232607	18.89	5.43	18,13
3232608		8.76	21
3232609		0.06	15
3232610	18.34	4.77	12,20
3232611	15.78	4.29	18,14
3232612		-0.79	19
3232613	12.73	0.51	13,10
3232614		-1.71	9
3232615	13.42	-2.59	7,9
3232616		-0.46	4
3232618		5.49	7
3232619		4.83	10
3232620		-0.81	20
3232623		1.39	17
3232624		1.51	5
3232626		-1.71	17
3232627		-0.15	11
3232631		4.81	10
3232632	17.44	4.92	27,13
3232633		1.42	10
3232634	9.47	4.79	25,16
3232635	15.71	1.60	3,5
3232636		1.38	13
3232637	16.02	3.60	7,15
3232638		8.68	17
3232639	9.25	5.53	18,9
3232640		7.63	14
3232642	18.53	5.19	19,10
3232643		3.39	9
3232644	12.87	-0.85	22,9
3232645	15.14	7.68	18,22
3232646		7.13	16
3232647	19.37	9.98	16,20
3232649		10.33	15
3232650	17.44	5.13	19,10
3232651	17.94	4.29	19,10
3232652		0.05	15
3232653	15.98	3.91	7,15
3232654	17.78	5.22	15,11
3232655		6.29	25
3232657	18.72	5.46	15,10
3232658		6.44	4
3232659	13.42	-1.96	16,15
3232660		3.75	13
3232662		-0.77	19
3232663		5.07	12
3232664	18.68	4.72	18,17
3232665		-1.71	9
3232666		-0.65	8
3232667	19.84	6.39	3,13
3232668		7.12	2
3232670	12.76	0.54	13,11
3232671		1.52	5
3232672	17.43	5.15	11,18
3232674		10.07	21
3232675	18.00	4.94	19,10
3232676		6.30	18
3232677		4.92	11
3232678		3.22	20
3232680	17.34	4.41	9,17
3232682		-0.24	13
3232685		4.95	10
3232686	13.42	-2.59	7,9
3232687	19.30	9.98	14,18
3232688	17.30	4.75	9,17
3232690		-0.47	15
3232691		4.13	12
3232692	17.88	4.74	17,16
3232693	16.25	4.53	14,9
3232694		0.05	12
3232695		0.06	9
3232696		0.13	17
3232697		8.68	21
