NAME,VAL
5333267,7.94328
1475833,1.77828
1288712,2.51189
3235560,0.794328
3235566,31.6228
4271676,25.1189
3941062,31.6228
1565837,0.891251
2831718,8.91251
2980658,11.2202
1479697,10.0
2898275,14.1254
2733525,31.6228
2855584,22.3872
11958391,6.30957
1829290,14.1254
11958397,3.98107
5378674,7.07946
2217311,0.0281838
1370241,1.25893
3240817,7.94328
3477046,39.8107
3245082,25.1189
9590382,3.54813
2938449,12.5893
2929631,7.94328
1132506,1.99526
664301,7.94328
3246423,6.30957
3234164,3.16228
5524102,15.8489
3234160,1.0
124172,5.01187
1482756,10.0
3240102,15.8489
16758440,2.51189
2793146,1.99526
2133924,0.251189
682802,1.99526
2084622,2.81838
6603741,7.94328
6603740,15.8489
6603743,12.5893
1088811,39.8107
54686761,8.91251
1365490,2.51189
1453572,15.8489
2230147,2.51189
2230146,7.94328
5407249,7.94328
1994324,0.316228
1096310,8.91251
1894994,1.99526
5349323,15.8489
3013166,7.94328
3144202,3.54813
3234576,0.794328
3234571,15.8489
3233374,0.158489
3519,31.6228
9636068,22.3872
719755,17.7828
11980904,1.25893
1022424,3.16228
54677843,0.707946
3487142,1.0
3242055,10.0
3242500,17.7828
3242503,3.54813
1176117,2.81838
2726190,2.81838
2815785,12.5893
6604572,12.5893
3382829,8.91251
2986428,7.07946
268638,3.16228
6066776,1.12202
6066774,3.54813
4614034,12.5893
1299526,2.51189
986236,1.25893
3229174,11.2202
6413218,1.77828
3632817,39.8107
1473674,0.0794328
2274646,39.8107
4173677,8.91251
1022009,15.8489
9551610,6.30957
3233718,3.16228
3233719,39.8107
3233247,0.398107
3233716,7.94328
3233713,15.8489
734554,2.51189
734555,8.91251
734553,2.23872
6323813,0.01
3211145,17.7828
1735073,12.5893
2830094,4.46684
3239543,3.54813
707498,7.07946
5587050,2.23872
3243676,1.99526
3103429,1.12202
2908925,7.94328
272572,3.16228
3244907,25.1189
3244905,5.62341
11958561,31.6228
11958566,15.8489
5792239,12.5893
1098144,28.1838
2091261,2.51189
859016,14.1254
5103771,0.125893
3235712,5.62341
4155549,2.23872
2907732,14.1254
5333096,2.81838
9549619,35.4813
5147385,7.94328
647933,7.94328
373201,0.891251
2999101,7.07946
3595012,17.7828
3234249,3.16228
653914,7.07946
3621760,12.5893
1009418,1.0
2434382,19.9526
7605374,5.01187
2914650,5.62341
4609480,0.281838
107896,3.16228
3173042,0.398107
878043,8.91251
3094819,12.5893
1402105,0.281838
2605165,12.5893
852636,17.7828
5999972,0.0281838
3232831,7.94328
1242827,3.98107
2885841,10.0
4289706,1.25893
1732274,3.16228
5458262,3.16228
6899176,31.6228
6872864,0.891251
2866118,2.51189
1846661,2.51189
1765982,39.8107
736799,35.4813
1309483,5.01187
5346232,22.3872
660304,1.77828
679873,0.707946
990668,3.54813
990669,12.5893
702389,0.0281838
1747288,22.3872
2016912,14.1254
3220753,15.8489
759953,10.0
649650,7.07946
3237829,3.98107
3239725,7.94328
235593,7.94328
413487,6.30957
3721751,1.58489
627093,10.0
2267687,0.0354813
1252563,7.94328
2963405,1.12202
5122830,3.16228
6896805,3.98107
9573720,6.30957
3242993,2.51189
3246363,3.16228
6815,3.16228
3278071,15.8489
11957285,4.46684
6997824,5.01187
3236663,28.1838
2981354,7.07946
3236661,14.1254
3233012,1.25893
3233017,1.0
3233014,31.6228
3234290,2.51189
1042283,6.30957
3234292,39.8107
3233018,0.794328
5503982,0.630957
9556577,2.51189
3232632,1.0
3232638,31.6228
11957131,3.16228
663539,1.99526
747498,14.1254
5512458,1.25893
3234745,5.01187
2204385,15.8489
3238675,14.1254
4896559,7.07946
1244790,25.1189
3745303,39.8107
2228974,0.398107
3246424,7.94328
934161,1.99526
3236297,28.1838
6604385,0.398107
6604380,15.8489
2927347,6.30957
2869252,4.46684
645569,28.1838
3716916,8.91251
3243245,2.23872
5332627,15.8489
566975,17.7828
3243240,5.62341
2079023,19.9526
950756,3.98107
9566812,1.99526
5459505,10.0
5459504,12.5893
5459506,5.01187
5459501,31.6228
5459500,10.0
5459503,19.9526
5459502,12.5893
2126542,11.2202
3235369,0.125893
3235367,19.9526
1239473,14.1254
834546,7.07946
3233901,19.9526
3233900,0.794328
3233902,3.98107
6604038,12.5893
6604039,25.1189
6604037,19.9526
5455426,2.23872
5455427,2.51189
5614,0.0316228
6604031,31.6228
1823022,0.398107
1475812,1.41254
1475818,28.1838
3233638,7.94328
1322118,2.23872
3233637,19.9526
6404569,25.1189
5911477,25.1189
3235502,19.9526
3235500,19.9526
3235507,31.6228
3235506,7.94328
3235504,3.16228
3093402,39.8107
1488513,3.16228
1105521,1.99526
3772253,3.54813
644213,6.30957
5771488,7.94328
2095603,12.5893
3145649,8.91251
7168400,0.177828
2884523,4.46684
2884521,1.99526
2951421,7.94328
2276063,3.54813
1088818,1.12202
3520283,28.1838
977742,3.16228
5981432,12.5893
409027,0.0794328
5765086,5.62341
1324253,2.51189
1252955,12.5893
234909,3.98107
3234100,25.1189
3234101,6.30957
4348626,0.794328
3232998,15.8489
3234106,31.6228
889019,25.1189
5934765,5.01187
2291980,7.94328
656183,19.9526
6385568,0.316228
2937080,3.16228
781881,0.0398107
1483131,25.1189
2768724,31.6228
