ID	apKa1	bpKa1	atoms
85271356	13.37	0.61	14,10
85271353	18.37	-1.77	15,26
85271350	11.95	1.59	12,9
85271349	13.47	-4.27	31,33
85271348	10.20	2.34	34,25
85271346	13.50	1.89	13,4
85271342	10.85	-4.40	20,14
85271335	10.27	-1.25	26,13
85271328	9.93	-3.22	12,4
85271327	7.78	3.29	11,3
85271326	-1.23	-2.21	20,22
85271323	8.39	-4.42	33,33
85271321	8.25	-2.96	8,31
85271320	6.84	-0.16	7,23
85271318	4.09	3.13	33,2
85271315	11.75	0.75	17,19
85271313		-1.33	20
85271312	9.46	-2.16	15,7
85271311		-4.64	19
85271309	12.59	-4.14	8,32
85271307	10.08	-2.15	30,8
85271302	13.73	-5.01	31,22
85271300	12.48	-4.46	27,2
85271295	11.95	7.42	12,8
85271293	11.44	-1.64	10,20
85271289	13.83	-4.82	18,2
85271286	12.11	-3.48	5,23
85271285	12.35	-6.92	29,20
85271284	12.73	-2.58	21,14
85271267	6.77	0.59	24,26
85271266	11.46	-4.83	17,2
85271258	13.72	2.46	14,3
85271253	4.73	-1.50	18,21
85271249	3.35	-4.62	35,29
85271248	11.47	-4.09	10,27
85271247	12.86	-4.34	10,8
85271241	6.27	1.69	11,10
85271239		6.06	26
85271236	13.97	8.09	6,2
85271235	13.05	-4.63	9,22
85271232		-1.60	17
85271229	6.71	4.54	12,33
85271227	11.08	-2.56	11,16
85271221	10.70	3.36	13,2
85271220	8.79	-0.85	15,8
85271218	13.09	-1.57	17,27
85271217	9.94	-2.99	15,14
85271212		5.25	21
85271210	2.16	-4.14	34,28
85271208	7.95	1.39	18,16
85271205	7.09	-0.69	20,15
85271204	11.05	-3.69	13,15
85271195	8.45	-1.25	7,9
85271184	13.85	2.00	15,8
85271177	19.48	-4.84	10,15
85271176	14.05	1.02	20,27
85271174	9.33	2.62	18,16
85271173	10.16	-7.12	8,14
85271167	18.47	-5.79	11,10
85271165	14.20	-6.22	13,12
85271163	19.47	-6.67	12,11
85271160	11.83	-1.03	17,13
85271156	18.47	-4.18	21,7
85271155	12.98	-3.45	7,18
85271153	7.88	3.48	9,27
85271146	19.47	-6.67	12,11
85271143	3.47	0.28	29,8
85271142	7.81	-0.18	14,23
85271139	11.36	-4.01	12,27
85271132	10.45	0.07	23,26
85271131	9.05	-2.91	26,4
85271128	10.00	-5.05	14,21
85271126	10.26	2.87	29,11
85271124	19.45	3.43	14,20
85271117	10.15	7.07	25,9
85271116	16.14	-6.66	6,3
85271115	10.52	-4.38	24,2
85271110	14.47	-0.81	10,9
85271107	13.42	3.11	19,10
85271098	18.46	1.58	10,18
