ID,SEL_100,VAL,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
1320775,0.37,0.82,1.2,14.54,8.91,basic,basic,basic,381.498,3.16,2.72,78.0,3,3,green,green,green
3012,0.92,0.92,1.15,15.8,-1.57,neutral,neutral,neutral,232.278,1.861,1.15,54.12,2,2,green,green,green
345035,0.03,0.25,2.36,10.32,7.57,basic,basic,neutral,400.862,3.125,2.76,103.17,2,5,green,yellow,yellow
1294686,0.04,0.56,2.02,13.28,7.07,basic,neutral,neutral,294.351,2.667,2.18,65.04,2,3,green,green,yellow
387663,0.72,0.88,3.28,,-4.45,neutral,neutral,neutral,325.358,3.337,3.28,49.69,0,4,yellow,green,yellow
490151,0.09,0.77,-5.3,12.46,7.66,basic,basic,neutral,267.276,-2.64,-4.85,153.64,8,7,green,green,green
78306,0.0,0.0,-1.87,0.96,4.76,acidic,acidic,acidic,189.167,0.739,1.58,70.16,1,3,green,green,green
58424,0.0,0.32,2.78,,-0.13,neutral,neutral,neutral,285.338,3.351,2.78,38.77,0,3,green,green,yellow
145081,0.0,0.0,-0.84,11.08,-6.19,neutral,neutral,neutral,175.139,-1.13,-0.84,81.7,1,5,green,green,green
1359852,0.0,0.35,2.04,14.92,10.0,basic,basic,basic,698.859,6.832,6.6,125.06,2,6,red,red,yellow
1314031,0.01,0.08,0.88,8.3,9.01,basic,basic,basic,429.466,2.285,1.94,90.04,2,4,green,yellow,green
93895,0.07,0.34,2.51,11.33,-0.45,neutral,neutral,neutral,270.207,2.842,2.51,55.13,1,3,green,green,yellow
1291046,0.0,0.08,3.0,13.25,4.85,neutral,neutral,neutral,350.386,2.755,3.0,62.22,2,3,green,green,yellow
1301224,0.09,0.62,1.81,3.69,3.03,acidic,acidic,acidic,325.297,4.108,4.62,100.03,2,5,yellow,green,green
571772,0.0,0.2,2.89,8.61,7.61,basic,basic,neutral,392.494,3.283,3.1,68.17,2,3,yellow,green,yellow
1325938,0.0,0.04,0.31,3.44,9.55,zwiterionic,zwiterionic,zwiterionic,381.224,1.184,-0.7,98.32,2,4,green,green,green
5295,0.64,0.97,3.38,9.84,-4.31,neutral,neutral,neutral,316.348,3.561,3.38,57.15,1,5,yellow,green,yellow
1069498,0.02,0.02,3.76,,-3.08,neutral,neutral,neutral,246.235,2.887,3.76,36.68,0,2,yellow,green,yellow
1308261,0.02,0.24,2.27,13.05,0.95,neutral,neutral,neutral,390.438,2.503,2.27,88.93,1,5,green,green,yellow
805081,0.0,0.11,4.11,17.55,1.85,neutral,neutral,neutral,335.79,4.085,4.11,55.11,1,3,yellow,green,red
230459,0.65,0.81,1.24,9.21,10.6,basic,basic,basic,327.808,3.669,2.76,57.18,3,2,green,green,green
83772,0.23,0.47,-6.73,0.68,4.91,acidic,acidic,acidic,283.112,-1.706,-3.34,148.18,5,8,green,green,green
