ID,SEL_100,SEL_5000,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90
1310096,0.0,0.23,2.01,,7.14,basic,neutral,neutral
169054,0.02,0.26,6.54,11.99,-4.47,neutral,neutral,neutral
75548,0.16,0.29,2.49,11.52,4.44,neutral,neutral,neutral
36440,0.41,0.92,-0.63,8.61,-1.41,neutral,neutral,neutral
612738,0.05,0.36,5.09,10.28,2.45,neutral,neutral,neutral
210552,0.44,0.74,-1.93,3.67,11.27,zwiterionic,zwiterionic,zwiterionic
1328770,0.0,0.14,4.12,15.08,2.43,neutral,neutral,neutral
343035,0.0,0.03,3.07,,-4.24,neutral,neutral,neutral
316040,0.84,0.97,4.17,14.08,-0.84,neutral,neutral,neutral
415943,0.46,1.0,1.82,10.11,7.96,basic,basic,neutral
921,0.0,0.03,2.14,9.47,-9.05,neutral,neutral,neutral
923,0.31,0.76,7.45,9.96,-3.04,neutral,neutral,neutral
924,0.87,1.0,5.59,9.96,-2.94,neutral,neutral,neutral
1293416,0.01,0.12,3.08,17.11,9.24,basic,basic,basic
1293410,0.03,0.04,4.01,10.78,5.19,neutral,neutral,neutral
65962,0.35,0.6,4.72,,4.48,neutral,neutral,neutral
75784,0.52,1.0,3.79,12.84,9.32,basic,basic,basic
33576,0.2,0.61,2.81,13.8,9.13,basic,basic,basic
20131,0.73,0.86,1.3,9.78,9.02,basic,basic,basic
1699,0.16,0.58,1.4,6.81,-4.92,acidic,acidic,neutral
1522799,0.0,0.91,7.7,6.84,-6.68,acidic,acidic,neutral
1313416,0.0,0.92,4.84,12.4,2.55,neutral,neutral,neutral
52338,0.59,0.97,1.15,10.03,11.02,basic,basic,basic
1301995,0.01,0.06,2.91,,6.02,neutral,neutral,neutral
11985,0.59,0.76,1.44,19.67,-3.19,neutral,neutral,neutral
1306383,0.02,0.35,5.48,9.18,2.95,neutral,neutral,neutral
36040,0.43,0.77,3.43,12.72,-4.3,neutral,neutral,neutral
201284,0.31,0.97,-3.59,,-0.34,neutral,neutral,neutral
1295184,0.03,0.16,2.18,9.46,1.15,neutral,neutral,neutral
1317218,0.0,0.01,2.59,19.92,2.59,neutral,neutral,neutral
