INDEX,SMILES,ID,STATE_50,VAL,logD
41,CC(C)(C)NC[C@H](COc1cccc2c1CCC(=O)N2)O,781-06-7,basic,10.1,-0.89
42,c1c(nc(s1)N)/C(=N/OCC(=O)O)/C(=O)N[C@H]2[C@H](N(C2=O)S(=O)(=O)O)COC(=O)N,87638-04-8,acidic,1.5,-8.09
43,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](c3ccc(cc3)O)N)SC1)C(=O)O,50370-12-2,zwitterionic,2.5,-2.7
44,Cn1c(nnn1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)[C@@H](c4ccccc4)O)SC2)C(=O)O,34444-01-4,acidic,3.6,-3.39
45,c1cc(ccc1[C@H](C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)CSc4c[nH]nn4)C(=O)O)N)O,51627-14-6,acidic,3.3,-2.46
46,Cc1nnc(s1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)Cn4cnnn4)SC2)C(=O)O,25953-19-9,acidic,0.89,-4.99
47,Cc1nnc(s1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)[C@@H](c4ccccc4)O)SC2)C(=O)O,41952-52-7,acidic,2.6,-2.91
48,CON=C(c1nc(sn1)N)C(=O)N[C@H]2C3N(C2=O)C(=C(CS3)C[N+]45CCC(CC4)(CC5)C(=O)N)C(=O)O,105239-91-6,acidic,1.7,-4.97
49,C[N+]1(CCCC1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/c4csc(n4)N)SC2)C(=O)[O-],88040-23-7,acidic,2.2,-3.45
50,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/c3csc(n3)N)SC1)C(=O)O,65052-63-3,acidic,1.9,-3.32
51,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OCC(=O)O)/c3csc(n3)N)SC1)C(=O)O,79350-37-1,acidic,1.0,-7.09
52,Cn1c(nnn1)SCC2=C(N3[C@@H]([C@H](C3=O)NC(=O)/C(=N\OC)/c4csc(n4)N)SC2)C(=O)O,65085-01-0,acidic,3.65,-3.55
53,Cn1c(nnn1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)CSCC#N)OC)SC2)C(=O)O,56796-20-4,acidic,1.5,-4.07
54,Cc1c(sc(n1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/c4csc(n4)N)SC2)C(=O)O)CC(=O)O,69739-16-8,acidic,0.61,-5.46
55,c1ccc(cc1)[C@H](C(=O)N[C@@H]2[C@@H]3N(C2=O)C(=C(CS3)CSc4nnnn4CS(=O)(=O)O)C(=O)O)O,61270-58-4,acidic,0.38,-6.83
56,c1ccc(c(c1)CC(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)CSc4nnnn4CC(=O)O)C(=O)O)CN,60925-61-3,zwitterionic,0.66,-6.36
57,CO/N=C(\c1csc(n1)N)/C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[n+]4ccc(n4CCO)N)C(=O)[O-],122841-10-5,acidic,1.77,-4.71
58,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/c3csc(n3)N)SC1)C(=O)O,63527-52-6,acidic,2.7,-4.17
59,Cn1c(nnn1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)O)S4)OC)SC2)C(=O)O,69712-56-7,acidic,0.42,-6.97
60,CO[C@@]1([C@@H]2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)O)NC(=O)Cc3cccs3,35607-66-0,acidic,3.6,-3.06
61,CON=C(c1nc(sn1)N)C(=O)N[C@@H]2[C@@H]3N(C2=O)C(=C(CS3)CN4C=CN5C4=CC=C[N-]5)C(=O)O,113359-04-9,acidic,2.1,-4.05
62,c1ccc(cc1)[C@H](C(=O)N[C@@H]2C3N(C2=O)C(=C(CS3)C[n+]4ccc(cc4)CCS(=O)(=O)O)C(=O)O)NC(=O)c5c(nc[nH]5)C(=O)O,84880-03-5,acidic,1.7,-10.76
63,CO/N=C(/c1csc(n1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[n+]4cccc5c4CCC5)C(=O)[O-],84957-29-9,acidic,1.9,-3.65
