INDEX,SMILES,ID,STATE_50,VAL,logD,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
44,Cn1c(nnn1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)[C@@H](c4ccccc4)O)SC2)C(=O)O,34444-01-4,acidic,3.6,-3.39,462.503,0.43,0.03,150.54,2,8,green,yellow,green
45,c1cc(ccc1[C@H](C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)CSc4c[nH]nn4)C(=O)O)N)O,51627-14-6,acidic,3.3,-2.46,462.503,-0.521,-3.74,174.53,4,7,green,yellow,green
46,Cc1nnc(s1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)Cn4cnnn4)SC2)C(=O)O,25953-19-9,acidic,0.89,-4.99,454.507,-0.475,-1.52,156.09,1,9,green,yellow,green
47,Cc1nnc(s1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)[C@@H](c4ccccc4)O)SC2)C(=O)O,41952-52-7,acidic,2.6,-2.91,478.565,1.528,0.55,132.72,2,7,green,yellow,green
48,CON=C(c1nc(sn1)N)C(=O)N[C@H]2C3N(C2=O)C(=C(CS3)C[N+]45CCC(CC4)(CC5)C(=O)N)C(=O)O,105239-91-6,acidic,1.7,-4.97,551.619,-2.183,-5.68,203.19,3,9,green,red,green
49,C[N+]1(CCCC1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/c4csc(n4)N)SC2)C(=O)[O-],88040-23-7,acidic,2.2,-3.45,480.561,-1.519,-4.47,150.04,2,7,green,yellow,green
50,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/c3csc(n3)N)SC1)C(=O)O,65052-63-3,acidic,1.9,-3.32,397.429,0.604,-0.6,147.21,2,7,green,green,green
51,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OCC(=O)O)/c3csc(n3)N)SC1)C(=O)O,79350-37-1,acidic,1.0,-7.09,453.45,0.052,-1.22,184.51,2,9,green,yellow,green
52,Cn1c(nnn1)SCC2=C(N3[C@@H]([C@H](C3=O)NC(=O)/C(=N\OC)/c4csc(n4)N)SC2)C(=O)O,65085-01-0,acidic,3.65,-3.55,511.558,0.187,-0.87,190.81,2,10,green,red,green
53,Cn1c(nnn1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)CSCC#N)OC)SC2)C(=O)O,56796-20-4,acidic,1.5,-4.07,471.534,-0.755,-0.65,163.33,1,9,green,yellow,green
54,Cc1c(sc(n1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/c4csc(n4)N)SC2)C(=O)O)CC(=O)O,69739-16-8,acidic,0.61,-5.46,584.669,1.762,0.3,197.4,2,10,green,red,green
55,c1ccc(cc1)[C@H](C(=O)N[C@@H]2[C@@H]3N(C2=O)C(=C(CS3)CSc4nnnn4CS(=O)(=O)O)C(=O)O)O,61270-58-4,acidic,0.38,-6.83,542.566,-0.368,-2.53,204.91,3,11,green,red,green
56,c1ccc(c(c1)CC(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)CSc4nnnn4CC(=O)O)C(=O)O)CN,60925-61-3,zwitterionic,0.66,-6.36,519.554,-1.251,-4.42,193.63,2,9,green,red,green
57,CO/N=C(\c1csc(n1)N)/C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[n+]4ccc(n4CCO)N)C(=O)[O-],122841-10-5,acidic,1.77,-4.71,522.558,-2.821,-5.1,205.1,4,8,green,red,green
58,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/c3csc(n3)N)SC1)C(=O)O,63527-52-6,acidic,2.7,-4.17,455.465,0.31,-1.44,173.51,2,9,green,yellow,green
59,Cn1c(nnn1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)O)S4)OC)SC2)C(=O)O,69712-56-7,acidic,0.42,-6.97,575.619,-1.742,-0.38,219.93,2,11,green,red,green
60,CO[C@@]1([C@@H]2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)O)NC(=O)Cc3cccs3,35607-66-0,acidic,3.6,-3.06,427.452,0.449,0.29,148.26,2,7,green,yellow,green
61,CON=C(c1nc(sn1)N)C(=O)N[C@@H]2[C@@H]3N(C2=O)C(=C(CS3)CN4C=CN5C4=CC=C[N-]5)C(=O)O,113359-04-9,acidic,2.1,-4.05,516.534,-0.025,-2.17,180.68,2,9,green,red,green
