INDEX,SMILES,ID,STATE_50,VAL,logD,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
33,CN1CCc2cccc-3c2[C@H]1Cc4c3c(c(cc4)O)O,58-00-4,basic,40.0,2.53,267.322,2.461,2.87,43.7,2,2,green,green,yellow
41,C[C@H](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)Cc3[nH]c(=O)[nH]n3)c4ccc(cc4)F,170729-80-3,neutral,1.0,5.15,534.427,5.543,5.22,83.24,2,4,red,red,red
42,C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc3c2NCC(C3)C,74863-84-6,zwitterionic,5.0,-0.92,508.634,0.551,-4.06,177.71,5,5,green,red,green
43,c1cc(c(c(c1)Cl)Cl)N2CCN(CC2)CCCCOc3ccc4c(c3)NC(=O)CC4,129722-12-9,basic,0.83,4.57,448.385,5.036,4.9,44.81,1,2,yellow,yellow,red
44,C[C@@H]1CC[C@H]2[C@H]([C@@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OC(=O)CCC(=O)O)C,88495-63-0,acidic,1070.0,-0.17,384.421,1.119,3.1,100.52,0,8,yellow,green,green
45,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,50-81-7,acidic,1.05,-4.83,176.124,-0.478,-1.91,107.22,4,6,green,green,green
46,CN1C[C@@H]2c3ccccc3Oc4ccc(cc4[C@H]2C1)Cl,65576-45-6,neutral,12.4,3.47,285.768,2.817,3.72,12.47,0,1,yellow,green,yellow
47,Cc1ccccc1O[C@H](CCNC)c2ccccc2,83015-26-3,basic,9.3,1.46,255.355,3.666,3.81,21.26,1,1,yellow,green,green
48,C[N+]1(CCc2cc(c(cc2C1Cc3ccc(c(c3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCc5cc(c(cc5C4Cc6ccc(c(c6)OC)OC)OC)OC)C,64228-79-1,neutral,5.7,-0.96,929.145,4.585,-0.96,126.44,0,12,green,red,green
49,Cc1ccc(nc1)S(=O)(=O)Nc2c(c(nc(n2)c3ccncc3)OC)Oc4ccccc4OC,290815-26-8,acidic,0.52,2.89,479.508,2.653,3.83,125.42,1,9,yellow,yellow,yellow
50,c1nc(nc(=O)n1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,320-67-2,neutral,35.0,-3.07,244.205,-0.91,-3.07,143.72,4,7,green,green,green
51,CC(C)(C)NCC(c1cc(cc(c1)OC(=O)N(C)C)OC(=O)N(C)C)O,81732-65-2,basic,18.0,-0.7,367.44,0.904,1.4,91.34,2,5,green,green,green
52,CC(C)(C)[C@@H](C(=O)N1CCN(CC1)Cc2ccc3c(c2)OCO3)NC(=O)[C@H](CC4CCCC4)CN(C=O)O,325795-25-3,neutral,3.1,2.5,530.656,2.651,2.57,111.65,2,6,green,red,yellow
53,CCN(CC)CCN1C(=O)c2c3c4cccc(c4[nH]c3c5c(c2C1=O)c6cccc(c6n5[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)OC)O)O)Cl)Cl,119673-08-4,basic,3.13,1.88,669.552,4.532,3.55,140.49,4,7,yellow,red,green
54,CCC(=O)OCC(=O)[C@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)Cl)O)C)C)OC(=O)CC,5534-09-8,neutral,36.0,4.43,521.042,3.084,4.43,106.97,1,7,yellow,red,red
55,c1ccc(cc1)NS(=O)(=O)c2cccc(c2)/C=C/C(=O)NO,414864-00-9,neutral,23.6,1.69,318.348,1.86,1.81,95.5,3,4,green,green,green
56,Cn1c2ccc(cc2nc1CCCC(=O)O)N(CCCl)CCCl,16506-27-7,acidic,4.49,0.95,358.263,2.451,1.54,58.36,0,3,green,green,green
57,c1ccc2c(c1)[nH]c(=O)n2C3CCN(CC3)CCCC(=O)c4ccc(cc4)F,2062-84-2,neutral,8.3,2.84,381.443,3.509,3.12,58.1,1,2,yellow,green,yellow
58,CC(C)COC[C@@H](CN(Cc1ccccc1)c2ccccc2)N3CCCC3,64706-54-3,basic,8.7,3.73,366.54,4.986,5.49,15.71,0,1,red,green,yellow
59,Cc1cccc(c1)OCC(CNCCc2ccc(c(c2)OC)OC)O,59170-23-9,basic,5.5,1.13,345.433,3.039,3.03,59.95,2,4,yellow,green,green
60,CC[C@@H]1C(=O)N(c2cnc(nc2N1C3CCCC3)Nc4ccc(cc4OC)C(=O)NC5CCN(CC5)C)C,755038-02-9,basic,17.33,1.87,521.654,2.869,3.06,102.93,2,5,yellow,red,green
