INDEX,SMILES,ID,STATE_50,VAL,logD
52,CC(C)(C)[C@@H](C(=O)N1CCN(CC1)Cc2ccc3c(c2)OCO3)NC(=O)[C@H](CC4CCCC4)CN(C=O)O,325795-25-3,neutral,3.1,2.5
53,CCN(CC)CCN1C(=O)c2c3c4cccc(c4[nH]c3c5c(c2C1=O)c6cccc(c6n5[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)OC)O)O)Cl)Cl,119673-08-4,basic,3.13,1.88
54,CCC(=O)OCC(=O)[C@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)Cl)O)C)C)OC(=O)CC,5534-09-8,neutral,36.0,4.43
55,c1ccc(cc1)NS(=O)(=O)c2cccc(c2)/C=C/C(=O)NO,414864-00-9,neutral,23.6,1.69
56,Cn1c2ccc(cc2nc1CCCC(=O)O)N(CCCl)CCCl,16506-27-7,acidic,4.49,0.95
57,c1ccc2c(c1)[nH]c(=O)n2C3CCN(CC3)CCCC(=O)c4ccc(cc4)F,2062-84-2,neutral,8.3,2.84
58,CC(C)COC[C@@H](CN(Cc1ccccc1)c2ccccc2)N3CCCC3,64706-54-3,basic,8.7,3.73
59,Cc1cccc(c1)OCC(CNCCc2ccc(c(c2)OC)OC)O,59170-23-9,basic,5.5,1.13
60,CC[C@@H]1C(=O)N(c2cnc(nc2N1C3CCCC3)Nc4ccc(cc4OC)C(=O)NC5CCN(CC5)C)C,755038-02-9,basic,17.33,1.87
61,c1ccc(cc1)C(CCN2CCCCC2)(C3CC4CC3C=C4)O,514-65-8,basic,12.0,1.64
62,c1ccc(cc1)C[C@@H]2CN(c3ccc(cc3CN2S(=O)(=O)c4cccs4)C#N)Cc5cnc[nH]5,195987-41-8,neutral,9.6,4.04
63,B([C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)(O)O,179324-69-7,neutral,19.0,1.51
64,c1ccnc(c1)C2=NCC(=O)Nc3c2cc(cc3)Br,1812-30-2,neutral,0.51,2.54
65,c1cc(c(c(c1)C(=O)c2ccc(cc2)Br)N)CC(=O)O,91714-94-2,acidic,1.3,0.4
66,CCN(CC)CCNC(=O)c1cc(c(cc1OC)N)Br,4093-35-0,basic,13.0,-0.09
67,Cc1nnc2n1-c3c(cc(s3)Br)C(=NC2)c4ccccc4Cl,57801-81-7,neutral,2.0,3.9
68,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C,51333-22-3,neutral,20.0,2.73
69,COc1cc(c(c(c1)OC)C(=O)CCCN2CCCC2)OC,55837-25-7,basic,5.6,0.57
70,CCc1cccc2c1oc(c2)C(CNC(C)(C)C)O,54340-62-4,basic,8.9,1.16
