ID	apKa1	bpKa1	atoms
1591215	14.08	9.42	15,17
1591216	14.07	5.85	15,17
1591217	14.07	9.13	8,4
1591218	14.07	6.64	15,17
1591219	14.07	6.77	15,17
1591220	14.08	8.04	10,12
1591221	14.08	5.84	10,12
1591222	14.08	6.64	10,12
1591223	14.08	6.77	10,12
1591224	9.42	5.92	6,12
1591225	13.60	5.84	6,12
1591226	13.78	7.04	1,24
1591227	13.77	7.05	24,17
1591228	14.07	6.72	16,12
1591229	13.60	5.85	25,17
1591230	14.07	6.81	15,17
1591231	14.08	6.67	1,21
1591232	14.08	6.78	15,11
1591233	14.08	6.80	14,10
1591234	14.08	6.80	13,15
1591235	14.08	6.67	13,15
1591236	14.08	6.78	13,15
1591237	14.08	8.07	13,15
1591238	14.08	5.88	1,27
1591239	14.08	6.75	14,10
1591240	14.08	5.82	1,21
1591241	14.08	6.63	1,27
1591242	14.08	5.88	1,21
1591243	14.08	8.07	1,21
1591244	14.08	9.13	13,15
1591245	14.08	6.65	1,21
1591246	14.08	6.78	14,10
1591247	14.08	8.04	1,21
1591248	14.08	6.76	15,11
1591249	14.08	6.80	14,10
1591250	14.08	6.67	1,27
1591251	14.08	6.78	15,11
1591252	14.08	6.78	14,10
1591253	14.08	9.13	8,4
1591254	14.08	5.85	1,21
1591255	14.08	8.07	1,27
1591256	14.08	9.13	8,4
1591257	14.08	5.85	1,27
1591258	14.08	8.04	1,27
1591259	14.08	9.13	8,4
1591260	14.45	9.35	8,4
213821	7.83	4.62	3,9
1591261	14.45	7.26	19,21
1591262	14.45	9.35	8,4
1591263	14.08	9.13	8,4
1591264	13.52	10.05	19,4
213762		3.11	17
1591265	5.30	10.72	17,4
1591266	14.46	9.68	8,4
1591267	14.46	9.68	8,4
1591268	14.46	9.62	8,4
1591269	14.46	9.71	21,23
1591270	14.46	9.70	9,5
1591271	14.46	9.71	18,20
1591272	14.46	9.62	8,4
1591273	14.46	9.62	8,4
1591274	14.46	9.71	19,21
1591275	14.46	9.68	8,4
1591276	14.07	9.63	8,4
89341	13.27	7.84	15,19
1591277		7.19	2
1591278		6.04	18
89342	13.28	4.79	14,9
89311	13.27	5.43	21,9
1591279	13.27	7.66	10,2
1591280	13.27	7.61	15,16
1591281	13.27	6.39	12,6
1591282		7.56	12
1591283	13.82	7.34	19,12
1591284	13.82	8.26	11,3
1591285	13.82	7.92	6,9
1591286	13.83	8.32	6,9
1591287	13.82	8.00	6,12
1591288	13.83	8.71	6,9
1591289	18.32	8.59	4,25
1591290	13.83	10.35	17,3
1591291	18.33	10.34	30,3
1591292	13.28	5.22	11,6
1591293	11.99	-0.79	12,12
1591294	11.99	4.76	13,28
1591295	11.99	-0.79	11,11
1591296	11.99	-0.79	11,11
1591297	11.99	-0.79	15,15
1591298	11.99	-0.79	15,15
371317		-0.30	7
1591299		4.09	22
1591300	8.03	5.13	17,2
371381	10.95	-0.13	11,10
371500	13.75	1.11	19,14
371332	13.45	1.10	19,14
371289	13.00	1.10	14,19
1591301	11.98	-0.79	14,14
1591302	11.98	-0.39	10,16
371316	11.99	-0.79	13,13
243976	14.08	8.07	11,13
243663	14.07	5.85	12,14
238220	14.08	5.83	14,16
371453	14.07	5.83	13,15
371452	14.08	6.74	21,23
371431	14.08	6.76	13,10
371509	13.45	1.10	17,12
371508	13.45	1.10	13,18
