NAME VAL
372326 9684.0
244521 465.0
244485 75.0
1591049 14454.4
244482 9073.0
1591048 29512.09
244247 341.0
371371 500000.0
371373 17700.0
243791 14310.0
153601 377.0
153604 256.0
371332 280.92
1591047 1000.0
1591046 1348.96
1591155 48977.88
1591154 128.82
1591157 301995.17
1591156 11748.98
1591098 11481.54
1591099 177.83
1591153 10000.0
1591152 9120.11
1591094 3630.78
1591095 57.54
1591096 977.24
1591097 173.78
1591090 67608.3
1591091 416.87
1591092 2344.23
1591093 316.23
1591258 144.54
1591259 58.88
1591256 114.82
1591257 630.96
1591254 11481.54
1591255 263.03
1591252 263.03
1591253 436.52
1591250 549.54
1591251 407.38
1591276 812.83
372304 40.0
1591277 61659.5
372301 162.0
372300 249.0
372303 125.0
1591240 13489.63
371452 13.0
371453 207000.0
372309 178.0
372308 130.0
213821 676.08
1591177 5.62
1591279 97723.72
1591289 4677.35
1591288 7943.28
1591285 1380.38
1591284 9120.11
1591287 426.58
1591286 3235.94
1591281 977.24
1591280 5370.32
1591283 3548.13
1591282 48977.88
1591199 190.55
1591198 74.13
89341 851.14
371333 8770.0
89342 46773.51
89345 309029.54
371334 100000.0
1591220 263.03
244518 730.0
1591212 4265.8
1591213 1445.44
1591210 83.18
1591211 831.76
1591216 12589.25
1591217 6165.95
1591214 169.82
1591215 120.23
1591191 398.11
1591190 851.14
1591193 251.19
1591192 208.93
1591195 125.89
1591194 162.18
1591197 177.83
1591196 39.81
1591219 331.13
244192 1536.0
244190 230.0
243609 1807.0
243941 717.0
238279 2479.0
1591065 257039.58
1591064 549.54
1591067 102329.3
1591066 2691.53
1591061 27542.29
1591060 79432.82
1591063 776.25
1591062 16595.87
372341 1586446.595
372340 23311.145
372343 336.0
1591069 5495.41
1591068 53703.18
1591267 186208.71
1591266 6309.57
1591265 3715.35
1591264 23988.33
1591263 1202.26
1591262 23988.33
1591261 891.25
1591260 15848.93
1591106 223.87
1591107 1122.02
1591104 6918.31
1591105 676.08
1591102 2511.89
1591103 426.58
1591269 7762.47
1591268 11748.98
153167 27.0
153209 3645.0
153168 70.0
238309 177.0
244553 723.0
244559 302100.0
371340 500000.0
89311 1995.26
243520 58.0
243521 896.125
243826 110.0
243828 1727.0
1591142 25.7
1591143 8511.38
1591140 58.88
1591141 177.83
1591146 1698.24
1591147 724.44
1591144 2570.4
1591145 1659.59
1591148 467.74
1591149 302.0
244077 3197.0
372349 179.0
1591229 7413.1
1591228 3467.37
1591038 70.79
372348 59.0
1591223 56.23
1591222 245.47
1591221 1659.59
1591039 776247.12
1591227 9549.93
1591226 52.48
1591225 478.63
1591224 380.19
371289 97.36
372330 212.0
372333 19.0
372334 142.0
372335 167.0
372337 18.0
372338 14.0
372339 176300.0
1591031 1698.24
243859 3021.0
1591137 38.02
1591136 14.13
1591135 18.2
1591134 19.05
1591133 3162.28
1591132 354.81
1591131 147.91
1591130 309.03
1591036 2238.72
1591037 158.49
1591034 851.14
1591035 645.65
1591032 870.96
1591033 1513.56
1591139 1548.82
1591138 338.84
1591108 912.01
1591109 1737.8
1591151 128824.96
152682 2322.0
152683 31960.0
1591150 75.86
1591298 288.4
1591299 5888.44
1591292 1778.28
1591293 1202.26
1591290 2691.53
1591291 331.13
1591296 1000.0
1591297 758.58
1591294 25118.86
1591295 20892.96
371305 1000.0
1591100 257.04
244351 6467.0
1591101 3019.95
244419 172.0
1591159 1202.26
1591158 1819.7
1591186 229.09
1591187 30.9
1591184 537.03
1591185 199.53
1591182 1621.81
1591183 48977.88
1591180 6606.93
1591181 104712.85
1591188 295.12
1591189 12.88
372297 211.0
372296 396.0
372295 1686.0
372299 137.52
372298 178.415
1591218 3630.78
746559 478.63
372374 296.0
372375 859.0
372370 240.94
372371 203.585
372372 1003.0
372373 191.275
153570 599.0
1591072 44668.36
1591073 2691.53
1591070 6918.31
1591071 35481.34
1591076 912.01
1591077 602.56
1591074 4786.3
1591075 45708.82
1591078 380.19
1591079 14454.4
1591274 81283.05
1591275 95499.26
1591179 380.19
1591178 1548.82
1591270 2691.53
1591271 72443.6
1591272 123026.88
1591273 83176.38
1591173 2041.74
1591172 17782.79
1591171 177827.94
1591170 295.12
1591278 19498.45
1591176 1348.96
1591175 1258925.41
1591174 8912.51
371270 20930.0
243922 116.0
244547 797.0
244546 1036.0
244380 610.0
1591300 3090.3
1591301 741.31
1591302 8709.64
371358 290.0
371355 158300.0
371350 820.0
244044 1741.0
244046 172.0
372302 752.0
244049 678.0
1591238 1548.82
1591239 79.43
1591230 3162.28
