NAME,STATE,pKa,pH,IONIZED
2095,acidic,6.93,10,99.9149585782
2130,acidic,6.99,2,0.0010232825211
2130,acidic,6.99,3,0.0102318829014
2130,acidic,6.99,4,0.102224693416
2130,acidic,6.99,5,1.01292777336
2130,acidic,6.99,6,9.28300638473
2130,acidic,6.99,7,50.5756208411
2130,acidic,6.99,8,91.0976031465
2130,acidic,6.99,9,99.0322202827
2130,acidic,6.99,10,99.9023716839
2131,acidic,6.99,2,0.0010232825211
2131,acidic,6.99,3,0.0102318829014
2131,acidic,6.99,4,0.102224693416
2131,acidic,6.99,5,1.01292777336
2131,acidic,6.99,6,9.28300638473
2131,acidic,6.99,7,50.5756208411
2131,acidic,6.99,8,91.0976031465
2131,acidic,6.99,9,99.0322202827
2131,acidic,6.99,10,99.9023716839
2208,acidic,5.0,2,0.0999000999001
2208,acidic,5.0,3,0.990099009901
2208,acidic,5.0,4,9.09090909091
2208,acidic,5.0,5,50.0
2208,acidic,5.0,6,90.9090909091
2208,acidic,5.0,7,99.0099009901
2208,acidic,5.0,8,99.9000999001
2208,acidic,5.0,9,99.9900009999
2208,acidic,5.0,10,99.99900001
2247,acidic,6.16,2,0.00691783111221
2247,acidic,6.16,3,0.0691352671729
2247,acidic,6.16,4,0.687077555595
2247,acidic,6.16,5,6.47065009539
2247,acidic,6.16,6,40.8924403685
2247,acidic,6.16,7,87.3710420945
2247,acidic,6.16,8,98.5751554984
2247,acidic,6.16,9,99.855664651
2247,acidic,6.16,10,99.9855476913
2261,basic,7.75,2,99.9998221724
2261,basic,7.75,3,99.9982217522
2261,basic,7.75,4,99.9822203676
2261,basic,7.75,5,99.8224877254
2261,basic,7.75,6,98.2527908505
2261,basic,7.75,7,84.9020442789
2261,basic,7.75,8,35.9935000197
2261,basic,7.75,9,5.3240215202
2261,basic,7.75,10,0.559196730883
2265,acidic,6.99,2,0.0010232825211
2265,acidic,6.99,3,0.0102318829014
2265,acidic,6.99,4,0.102224693416
2265,acidic,6.99,5,1.01292777336
2265,acidic,6.99,6,9.28300638473
2265,acidic,6.99,7,50.5756208411
2265,acidic,6.99,8,91.0976031465
2265,acidic,6.99,9,99.0322202827
2265,acidic,6.99,10,99.9023716839
2484,acidic,5.8,2,0.0158464204362
2484,acidic,5.8,3,0.15823852808
2484,acidic,5.8,4,1.56016622418
