ID	apKa1	bpKa1	atoms
249414	15.01	-4.47	4,9
249814	17.35	9.49	19,4
250297	11.55	9.18	2,18
250508		9.68	10
250908		5.40	11
252155	16.09	-1.56	13,10
252768	14.10	9.78	12,5
253862		-4.96	7
255347	16.15	9.29	26,4
255373			
258371	10.03	10.97	18,4
259959		8.41	4
261343	15.82	2.13	5,4
263453	13.34	-3.53	1,1
264400	3.86	-4.16	10,5
264453	4.42		5
267825	5.44	-6.47	15,13
270724		10.32	3
271725	4.00		43
281549	3.49	-7.79	14,19
283529	9.00	6.21	12,31
289505		12.23	3
293438	12.74	-1.44	37,39
304381	6.05		5
304383	4.54		5
304390	3.05	-4.19	16,4
304398	4.08		2
304417	3.78	-3.67	7,4
304798	10.32	-0.88	36,46
305519	3.24	7.44	28,14
308201	9.40	5.58	12,3
311242	1.80		6
311503	6.05		3
313314	13.74	-2.85	36,27
314132		12.13	3
315123	9.39	-2.17	9,9
316787	1.44	9.61	27,1
317124	8.84	-4.36	4,3
321696	10.34	2.40	18,23
328153	16.30	-1.66	17,23
328158	9.91	-4.85	1,6
328164	17.91	-1.53	25,25
328201	18.01	-4.88	7,11
328400	19.09	-0.53	11,3
328601	13.60	-1.60	9,14
334337	14.83	3.93	8,24
337366		2.25	12
338934	10.61	-4.84	13,15
340684	6.16	-0.53	11,6
341382	13.60	7.17	21,14
342897	10.33	-5.45	14,14
345595		9.16	12
345872	15.12	-2.75	41,41
353011	6.84	-6.19	7,5
353902			
355897		8.89	17
355917	10.87	8.86	40,53
360720	12.44	-0.91	23,7
361469	8.52	7.22	5,28
364141	12.90	8.38	21,12
364520	19.09	-0.88	10,25
364859	6.66	-1.48	3,14
365189	6.90	7.53	15,58
365248	19.46	-4.12	11,2
365281	12.42	-3.33	28,32
365284	10.16	1.76	18,3
365538	10.16	1.85	16,3
366271	9.96	-2.98	18,14
366278	8.19	6.78	24,3
366279	11.09	-3.72	15,8
368538	7.76	-7.97	7,9
369179	2.56	9.09	10,7
372438	4.43	-3.31	43,34
373806	3.25	11.93	20,14
373856	2.86	0.73	23,8
373970	2.51	8.59	36,20
373985	2.84	6.24	17,2
374005	11.89	5.00	11,8
374037	2.98	9.59	128,114
374052	12.58	-2.85	18,28
374548		2.17	20
374719	12.52	-1.49	9,9
377715		9.47	13
377718	13.60	-2.99	24,3
378218	6.89	-4.43	1,10
378315	5.67	-6.88	20,20
381643	3.61	9.11	83,53
381691	11.75	-3.32	28,26
381693	7.82	-0.78	10,8
386327		7.75	5
386457	9.76	6.19	13,26
390877	8.93	0.63	16,12
393942	8.31	-2.31	6,9
394229	5.67	-6.88	6,6
394231	4.85	-6.82	1,16
394539	-3.03		3
395607	8.35	-0.26	8,5
397074	5.98	9.14	18,25
397524	13.12	-1.61	14,10
399361	8.18	3.51	17,10
399873		9.86	35
401141	13.56	-3.39	31,31
402531		-2.82	11
404691	4.60	-0.54	8,19
405364	17.59	0.25	26,6
405365	19.46	-6.64	9,22
405366	4.32	-3.68	22,36
406787	9.51	4.27	16,9
407354	4.33	-2.74	44,36
416772	12.94	1.70	37,6
417163	18.59	5.12	23,24
418344	9.05	-4.48	13,15
418401	12.55	-0.38	21,8
418414	19.12	9.45	13,12
419410	13.40	-3.33	31,38
419508	7.18	0.24	62,56
419542	13.55	-3.39	37,37
419596	19.44	-6.63	8,4
419601	9.29	4.77	9,16
419622	13.40	-3.33	26,35
420999	7.97	-3.42	22,30
421032		-4.95	6
421038	10.33	-5.45	21,21
421058	13.73	-2.85	37,28
421066	4.29	4.08	29,6
421089	10.41		5
421157	2.74	5.77	19,2
421208	8.09	-2.92	8,7
421317	3.80	5.21	36,16
421332		0.30	20
421334	9.61	6.92	20,2
421902		-3.69	19
425650	19.55	-0.81	11,11
426045	3.17		1
426067	13.40	9.23	2,7
427328	10.35	-4.30	22,15
428747	17.99	-1.49	26,26
428791	9.56	-0.97	18,14
429174	17.99	-1.49	25,25
429204	6.97	-2.61	9,14
430124	18.38	-1.32	25,25
430250	2.26	6.08	31,2
430546	6.12	2.55	8,4
430642	3.45	2.92	30,8
431141	8.65	4.00	15,9
431376	17.80	4.89	26,2
433015	0.30	9.48	24,1
435293	3.71	10.66	22,5
437211	15.50	5.54	13,3
438435		4.81	26
439720	12.61	-2.85	18,37
441571		-7.22	26
442013	4.60	-0.54	8,19
443255	14.81	8.91	18,9
443348	4.36	-2.98	13,1
444077	10.01	9.27	11,2
444191		7.24	7
444419		6.77	17
444750	4.02	-1.26	16,7
445395	15.15	9.39	18,2
445681	12.90	7.60	8,4
446279	8.00	9.17	37,27
446313	11.32	7.67	7,45
447448		8.87	3
448986	11.23	7.03	29,48
450864	11.46	9.04	20,3
452635		10.71	2
453121	18.84	-5.00	10,14
453532		10.25	4
453538	15.37		1
453564	9.29	-3.40	20,6
453573		-7.08	10
453578	13.00	6.54	18,14
453721	16.06	8.21	1,19
453722		-1.26	5
453832	9.31	-3.14	25,11
454070	4.31	-7.42	13,3
454250	4.35	-2.79	16,5
454382	9.58	-2.76	4,1
454576	3.46	7.60	27,16
454578	2.99	4.69	29,3
455284	2.84	6.24	18,3
456266	8.00	9.83	25,21
457400	3.98	0.53	25,8
458912	9.47	-9.05	4,2
460092	11.11	3.70	11,24
460466	3.54	9.51	19,24
462435	8.00	9.93	37,27
465356	7.15	-3.20	88,82
466038	9.26	7.80	21,3
466768	6.01	6.85	18,54
466810	3.30	-1.73	37,5
467361	13.89	0.78	17,9
468199		8.87	3
468656	13.74	8.76	29,6
469217	3.38	2.12	29,10
469732	7.07	-4.85	16,2
470800	7.02	-1.74	33,20
474532		10.53	28
476314	9.12	10.23	26,4
478059	3.63	-3.24	29,18
479129	12.30	7.15	13,2
480382	11.52	-0.94	19,4
482031	-4.15	2.38	33,19
485100	13.17	8.27	22,2
485738	11.88	-1.17	1,5
485902	3.45	7.43	28,16
486421	-0.94	2.66	44,14
486789	19.45	-3.35	8,18
487711	12.60	-3.85	9,9
487777	13.40	-3.33	23,35
490427	10.85	8.66	41,9
490981		9.48	2
494233	11.02	-2.98	8,1
494630	0.68	4.91	18,9
495572		1.23	10
496910		9.47	2
497231	1.80	0.39	43,25
497291	7.01	7.98	15,58
498105			
501035	14.56	9.57	19,16
503213	16.29	7.30	16,11
503697		10.32	4
504310			
505776	14.09	9.67	8,5
506444	10.82	4.12	7,3
508441		-7.04	17
508532	13.56	-3.10	25,34
508604		8.95	10
508667	17.02	8.62	8,13
513206	11.31	-3.53	7,1
513323	12.59	-2.97	8,1
515027	13.75	-2.85	35,28
515239	9.04	-3.09	1,9
518361	10.43	9.67	15,20
522483	8.59	8.05	19,39
524710		10.25	4
529987	15.59	9.76	6,3
543171	13.79	9.46	2,9
543228	14.09	9.67	8,5
543263	17.69	6.38	3,5
543306	14.41	9.38	19,17
543658		9.20	3
543703	17.43	7.44	7,4
544432	3.53	5.36	32,17
544765	4.14	9.26	21,12
545075		10.02	3
545509	12.86	8.18	27,22
545956	18.29	8.22	3,4
545974		10.70	12
546564	10.07	9.43	13,5
547402		8.16	10
547576		9.80	3
547681		12.33	6
547764	3.17	10.21	32,25
547836	17.66	10.31	13,5
548124		9.34	10
548594		10.19	4
548913	13.96	9.41	14,10
549367		9.77	13
549372		9.85	3
549674		10.14	4
549698		8.39	3
550053	9.81	8.96	15,5
550155	13.18	7.09	9,15
550303		9.20	3
550657	18.78	7.45	8,3
550857	5.96	5.36	22,25
550917		8.05	3
551003		7.31	10
551147	10.07	7.84	2,10
551224	3.78	9.76	24,3
551486		7.97	20
552883		9.09	12
553490	14.64	7.30	22,7
554127	11.05	-4.53	14,14
554800	11.09	-1.66	6,12
554892	19.44	-6.64	8,4
556608	10.42	9.63	24,32
557467	5.64	8.70	9,20
557938	3.76	-1.28	34,9
559106	16.75	7.87	44,32
562404	10.35	-4.83	2,2
563318	13.19	7.37	38,11
563573	2.16	-3.90	19,4
564291	8.98	5.99	11,30
564990	4.55	0.19	1,13
567201	12.99	-3.41	33,27
570147	12.46	8.38	45,46
573926		-3.93	2
575670	4.81		2
577488	12.54	9.83	36,13
580438	1.49	8.13	22,7
581569	12.71	0.76	21,9
581814	7.15	-2.98	64,50
581819	13.91	-0.97	13,8
582303	14.43	9.69	24,40
583519	13.84	9.45	2,6
583522	9.07	-2.74	1,9
583530		9.42	20
591037	13.44	-3.30	23,32
594843	15.34		12
595277		8.96	18
596044		6.98	8
597282	3.66	-2.99	14,2
598447	8.23	-3.63	9,26
602271		10.12	20
604618	13.59	-3.40	7,7
604622	10.87	8.72	38,51
604643	3.11	-6.32	31,25
610112	3.63	10.88	18,22
611647	16.14	4.59	14,10
611679	13.14	-4.85	12,8
624161	1.34	0.59	21,9
624171	2.13	-1.68	19,5
624185	5.39	-3.42	22,31
624251	17.58		6
624296	10.92	-1.19	7,3
626453	15.11	-4.18	7,17
627419	15.70	-1.80	1,1
630396		5.14	7
630439		8.47	25
630886	13.05	-1.55	2,4
631502	10.12	9.40	9,13
631810	10.12	9.40	9,14
641189	13.63	-3.39	29,29
642083	8.86	9.76	12,5
645898	12.10	9.79	34,1
646450	14.47	-2.69	17,28
647206	3.08	0.39	22,15
674272	5.80	2.17	6,14
674273		9.78	2
674274	8.05	9.80	20,12
674275	15.50	2.42	15,16
674277	19.47	8.18	9,27
674278	10.42	9.57	17,24
674279		9.70	3
674280		7.49	14
674281		6.61	11
674282	1.25	-4.31	10,4
674283		10.54	3
674285	12.90	6.73	7,24
674286	19.09	-4.81	19,23
674288	14.09	9.67	12,14
674289	19.51	5.62	6,13
674290	9.07	9.69	13,3
674291	14.03	9.31	18,24
674292	16.51	10.40	12,5
674293	12.47	-2.85	30,25
674294	3.79	5.48	26,6
674295	3.31	-1.88	33,16
674296	3.55		9
674298	16.31	-3.34	12,11
674299		6.78	17
674300	10.42	9.57	12,19
674301	2.03	-3.37	3,15
674302	6.99	2.01	12,2
674304	2.16	-3.90	36,21
674305	-1.05		20
674307	3.30	8.45	26,13
674308	2.92	-1.73	12,37
674309	4.55		2
674310	7.06	1.98	7,15
674311		10.35	5
674314	14.09	9.76	9,5
674316	2.70	4.24	15,2
674317	3.45	7.44	29,18
674318		-8.20	6
674319	4.16	-1.30	1,23
674320		3.89	5
674321		-7.17	1
674322	14.54	10.42	19,2
674324	3.00	4.29	30,5
674325	19.96	-5.04	23,15
674326	1.49	8.13	23,8
674327	13.40	-3.33	23,40
674328		10.01	3
674330		9.71	8
674331	10.16	1.85	4,17
674332	2.41	11.94	14,8
674333		9.16	25
674334		9.54	2
674335	13.64	-3.39	37,37
674336	8.97	9.76	15,6
674337	14.82	-2.85	28,28
674338		10.01	3
674339	3.75	-0.41	34,6
674340		9.56	16
674342	14.16	8.95	4,1
674343		8.87	2
674344	5.88	8.77	17,8
674345	2.49	9.24	23,18
674346		8.87	2
674347	13.62	8.00	14,6
674348		9.23	3
674349		6.78	17
674350		7.62	18
674351	9.84	3.87	14,10
674352	10.42	9.63	25,33
674353	19.12	9.45	13,12
674354		8.04	11
674356	14.00	9.59	28,30
674357		8.87	2
674358	8.58	9.40	17,3
674359	9.54	3.55	24,7
674360	13.78	7.75	11,5
674361	15.03	5.60	14,3
674362	13.24	10.17	19,5
674363	19.28	-4.73	10,14
674364		10.17	6
674367	4.30	2.14	5,13
674369	10.14	9.27	10,13
674370	15.34	6.65	7,13
674371		6.57	4
674374	2.16	-3.90	20,5
674375	0.09	9.59	27,9
674376		8.13	3
674377		9.34	4
674381	19.38	-0.88	17,17
674383	9.29	7.22	17,9
674385	11.44	2.44	8,10
674386	10.12	9.40	14,5
674387		-0.53	3
674389		6.77	11
674390	2.65	-1.67	2,8
674391	13.62	7.25	11,3
674393		9.42	4
674395	8.79	9.59	17,9
674397		8.76	3
674398	9.81	8.96	14,4
674399	1.03		6
674400	11.73	-3.39	9,31
674401		8.64	12
674404	16.84	-1.99	23,23
674405	10.16	7.48	23,7
674406	11.73	-2.95	16,21
674407	-3.03		3
674409	3.05	-4.19	16,4
674410	1.80		6
674412	13.77	8.14	13,19
674414	4.95	-0.59	2,17
674415		8.96	18
674418	2.38	-6.32	27,42
674419		-6.82	5
674420		9.20	3
674421	9.68	4.77	8,17
674422	8.24	-5.76	2,2
674423	18.93	2.59	14,9
674424	14.19	8.42	18,3
674425	2.52	6.22	31,3
674426	8.00	9.17	36,26
674428	8.35	-0.26	9,6
674429	15.88	8.36	15,17
674430		8.96	4
674433	3.38	-1.73	29,35
674434		8.22	4
674436	11.55	2.03	16,32
674438	2.80	-4.96	16,12
674442		9.31	2
674443		7.09	10
674444		9.08	3
674445	12.94	6.65	5,4
674446	3.66	-2.85	30,36
674448		8.51	11
674449	5.41	8.09	31,4
674451	13.85	-3.30	37,37
674454	9.68	6.71	36,17
674455	2.03	-3.37	18,30
674456	12.49	9.13	45,46
674457	12.44	8.38	45,46
674459	2.13	-1.67	47,21
674461	12.44	8.38	65,66
674463	11.71	9.47	39,30
674465			
674466	16.37	7.42	16,11
674468	9.71	8.39	28,2
674469	12.23	9.94	13,24
674470	15.56	8.07	26,23
674472	17.14	9.55	8,2
674473	6.55	-4.84	13,2
674474	3.03	0.26	31,4
674478	19.02	-4.11	52,61
674481	3.59	-3.84	25,7
674482		7.50	10
674483		8.81	3
674485	3.46	5.20	40,17
674489	12.44	-3.39	28,23
674490	6.05		2
674491		7.91	2
674492	10.78	-3.62	10,12
674493	17.18	-4.81	5,21
674494		8.88	9
674495	3.45	7.44	28,17
674496	13.55	-3.39	25,25
674498	15.70	-1.80	1,1
674500		9.65	38
674501		9.24	22
674510	3.78	-3.67	6,3
674511	17.29	8.18	8,7
674512	12.67	7.24	24,6
674513	13.75	-2.85	36,29
674514	4.05	5.58	25,7
674515	9.72	10.40	20,8
674518	2.83	5.77	27,18
674519	2.70		2
674520		-0.92	8
674521	12.65	9.11	12,2
674523		-0.78	1
674525	3.09		1
674529	7.82	-0.78	11,9
674531	1.70	-0.06	3,7
674532	2.17	-4.24	19,4
674533	4.05	7.84	10,2
674535	3.68	2.19	9,2
674536	10.23	-0.53	16,3
674537	13.51	8.82	10,5
674538		8.39	2
674540	2.79	8.36	37,3
674541		8.16	10
674543	17.19	-4.81	8,24
674545		12.02	3
674546		10.24	5
674547	6.95	3.40	1,12
674548	13.62	8.59	13,5
674549	1.49		14
674550	3.38	9.41	2,8
674551	12.65	-3.39	12,21
674552	11.55	9.18	3,19
674553		8.71	4
674555	15.18	5.02	15,8
674556	11.05	-4.53	2,2
674557		9.52	4
674558			
674559		-4.82	18
674560		9.77	17
674561	3.13	7.44	21,2
674562	13.56	8.21	25,10
674563	14.57	9.04	12,15
674564	3.96	-7.78	18,10
674565	11.72	-2.55	15,1
674567	6.49	-3.84	15,13
674568	18.76	-0.21	16,29
674569	4.04	9.01	7,19
674570	15.41	2.57	19,23
674572	5.53	9.53	19,10
674573	14.81	-1.03	26,12
674574		-0.27	4
674575		-6.73	3
674576	-7.00		1
674578		-7.06	1
674579	2.99	9.93	85,109
674580		9.65	44
674581	2.35	9.05	9,2
674582	2.38	-6.32	22,37
674585	7.18	0.24	64,58
674586	12.61	6.43	15,4
674587		9.76	3
674588	1.18	-3.39	37,24
674589		9.48	2
674592	19.02	-4.11	53,63
674594	12.55	10.18	41,2
674596	1.46	-3.69	14,44
674598	3.68	9.41	71,49
