Unnamed: 0,ID,VAL,UNITS,CHG_STATE,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
158,442313,29.0,%,acidic,-1.9,3.77,-0.14,acidic,acidic,acidic,465.623,0.228,1.38,127.09,4,6,green,yellow,green
159,2994,14.4,%,acidic,1.51,4.42,-4.84,acidic,acidic,acidic,250.333,3.488,4.39,46.53,0,3,yellow,green,green
160,52087,9.0,%,neutral,3.27,12.81,-3.72,neutral,neutral,neutral,276.212,3.418,3.27,72.24,1,3,yellow,green,yellow
161,175106,1.5,%,neutral,4.56,9.48,-3.04,neutral,neutral,neutral,409.425,4.611,4.56,60.77,2,3,yellow,yellow,red
162,485955,10.1,%,acidic,1.46,-1.75,-7.48,acidic,acidic,acidic,350.429,2.047,3.83,80.67,1,5,yellow,green,green
163,12506,45.8,%,basic,1.57,12.44,8.38,basic,basic,basic,733.927,3.49,2.6,193.91,5,13,green,red,green
164,14785,27.5,%,neutral,3.2,16.14,4.59,neutral,neutral,neutral,393.436,2.809,3.2,74.73,1,6,yellow,green,yellow
165,29890,27.3,%,acidic,1.1,4.0,-2.08,acidic,acidic,acidic,296.149,3.998,4.26,49.33,1,2,yellow,green,green
166,44396,-21.1,%,acidic,1.93,7.11,-3.05,acidic,acidic,neutral,268.221,3.572,2.4,83.81,2,5,green,green,green
167,116848,28.6,%,acidic,-0.3,3.44,1.76,acidic,acidic,acidic,440.454,5.023,4.41,118.81,1,7,yellow,yellow,green
168,444917,20.9,%,acidic,-2.98,2.62,-3.69,acidic,acidic,acidic,446.361,1.154,0.76,187.12,5,11,green,yellow,green
169,65605,24.4,%,basic,3.97,,8.75,basic,basic,basic,458.57,5.422,5.39,42.32,1,2,red,yellow,yellow
170,17347,16.3,%,neutral,2.43,13.61,2.39,neutral,neutral,neutral,505.627,3.776,2.43,131.19,3,6,green,red,yellow
171,27626,39.3,%,neutral,3.74,10.33,-0.88,neutral,neutral,neutral,272.382,3.062,3.75,40.46,2,2,yellow,green,yellow
172,71516,54.3,%,basic,1.81,10.87,8.86,basic,basic,basic,810.974,4.715,4.18,154.1,3,9,yellow,red,green
173,315942,82.4,%,acidic,-0.23,-0.8,-0.32,acidic,acidic,acidic,499.704,1.86,0.81,123.93,4,6,green,yellow,green
174,365189,101.7,%,zwitterionic,2.76,6.9,7.53,zwitterionic,zwitterionic,neutral,822.94,2.983,2.72,220.15,6,13,green,red,yellow
175,43952,25.4,%,neutral,3.28,16.29,7.3,basic,neutral,neutral,608.679,3.408,3.53,117.78,1,9,yellow,red,yellow
176,248669,83.2,%,acidic,1.95,3.68,4.82,acidic,acidic,acidic,452.586,5.63,3.92,78.87,1,4,yellow,yellow,green
177,3666,21.6,%,acidic,1.0,6.38,-3.99,acidic,acidic,acidic,302.236,1.84,2.16,131.36,5,7,green,green,green
178,631325,93.9,%,neutral,4.74,11.78,-2.28,neutral,neutral,neutral,1214.622,4.792,4.74,275.64,4,12,yellow,red,red
179,8062,62.1,%,neutral,3.54,10.36,-1.18,neutral,neutral,neutral,853.906,4.964,3.54,221.29,4,14,yellow,red,yellow
