,ID,VAL,UNITS,CHG_STATE,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90
164,14785,93.7,%,neutral,3.2,16.14,4.59,neutral,neutral,neutral
165,29890,19.6,%,acidic,1.1,4.0,-2.08,acidic,acidic,acidic
166,44396,-41.5,%,acidic,1.93,7.11,-3.05,acidic,acidic,neutral
167,116848,28.4,%,acidic,-0.3,3.44,1.76,acidic,acidic,acidic
168,444917,59.1,%,acidic,-2.98,2.62,-3.69,acidic,acidic,acidic
169,65605,58.9,%,basic,3.97,,8.75,basic,basic,basic
170,17347,-3.4,%,neutral,2.43,13.61,2.39,neutral,neutral,neutral
171,27626,47.4,%,neutral,3.74,10.33,-0.88,neutral,neutral,neutral
172,71516,-9.3,%,basic,1.81,10.87,8.86,basic,basic,basic
173,315942,47.2,%,acidic,-0.23,-0.8,-0.32,acidic,acidic,acidic
174,365189,21.2,%,zwitterionic,2.76,6.9,7.53,zwitterionic,zwitterionic,neutral
175,43952,72.3,%,neutral,3.28,16.29,7.3,basic,neutral,neutral
176,248669,42.2,%,acidic,1.95,3.68,4.82,acidic,acidic,acidic
177,3666,72.6,%,acidic,1.0,6.38,-3.99,acidic,acidic,acidic
178,631325,33.1,%,neutral,4.74,11.78,-2.28,neutral,neutral,neutral
179,8062,30.8,%,neutral,3.54,10.36,-1.18,neutral,neutral,neutral
180,381643,23.4,%,zwitterionic,-1.94,3.61,9.11,zwitterionic,zwitterionic,zwitterionic
181,641194,50.0,%,basic,4.09,9.32,8.18,basic,basic,neutral
182,26465,61.5,%,neutral,4.48,,7.09,basic,neutral,neutral
183,451889,78.8,%,neutral,2.94,11.2,-3.68,neutral,neutral,neutral
184,674584,39.0,%,neutral,5.83,12.47,-3.45,neutral,neutral,neutral
185,349663,28.7,%,acidic,-6.57,2.96,-3.73,acidic,acidic,acidic
186,5582,77.4,%,acidic,2.85,4.32,-1.36,acidic,acidic,acidic
187,391374,67.2,%,basic,5.82,8.51,8.12,basic,basic,neutral
188,2658,67.9,%,acidic,2.12,6.55,-5.35,acidic,acidic,neutral
189,1078490,-12.2,%,acidic,-1.04,3.63,-3.69,acidic,acidic,acidic
190,860,68.1,%,neutral,5.19,9.13,-5.96,neutral,neutral,neutral
191,721,51.4,%,neutral,3.08,,2.92,neutral,neutral,neutral
192,72873,14.0,%,neutral,3.64,11.83,-2.39,neutral,neutral,neutral
193,570147,5.1,%,basic,2.22,12.46,8.38,basic,basic,basic
